Period,changes-in-per-cent
1937-01-31,2.173913
1937-02-28,2.173913
1937-03-31,3.649635
1937-04-30,4.379562
1937-05-31,5.109489
1937-06-30,4.347826
1937-07-31,4.316547
1937-08-31,3.571429
1937-09-30,4.285714
1937-10-31,4.285714
1937-11-30,3.571429
1937-12-31,2.857143
1938-01-31,0.70922
1938-02-28,0
1938-03-31,-0.704225
1938-04-30,-0.699301
1938-05-31,-2.083333
1938-06-30,-2.083333
1938-07-31,-2.758621
1938-08-31,-2.758621
1938-09-30,-3.424658
1938-10-31,-4.109589
1938-11-30,-3.448276
1938-12-31,-2.777778
1939-01-31,-1.408451
1939-02-28,-1.41844
1939-03-31,-1.41844
1939-04-30,-2.816901
1939-05-31,-2.12766
1939-06-30,-2.12766
1939-07-31,-2.12766
1939-08-31,-2.12766
1939-09-30,0
1939-10-31,0
1939-11-30,0
1939-12-31,0
1940-01-31,-0.714286
1940-02-29,0.719424
1940-03-31,0.719424
1940-04-30,1.449275
1940-05-31,1.449275
1940-06-30,2.173913
1940-07-31,1.449275
1940-08-31,1.449275
1940-09-30,-0.70922
1940-10-31,0
1940-11-30,0
1940-12-31,0.714286
1941-01-31,1.438849
1941-02-28,0.714286
1941-03-31,1.428571
1941-04-30,2.142857
1941-05-31,2.857143
1941-06-30,4.255319
1941-07-31,5
1941-08-31,6.428571
1941-09-30,7.857143
1941-10-31,9.285714
1941-11-30,10
1941-12-31,9.929078
1942-01-31,11.347518
1942-02-28,12.056738
1942-03-31,12.676056
1942-04-30,12.587413
1942-05-31,13.194444
1942-06-30,10.884354
1942-07-31,11.564626
1942-08-31,10.738255
1942-09-30,9.271523
1942-10-31,9.150327
1942-11-30,9.090909
1942-12-31,9.032258
1943-01-31,7.643312
1943-02-28,6.962025
1943-03-31,7.5
1943-04-30,8.074534
1943-05-31,7.361963
1943-06-30,7.361963
1943-07-31,6.097561
1943-08-31,4.848485
1943-09-30,5.454545
1943-10-31,4.191617
1943-11-30,3.571429
1943-12-31,2.95858
1944-01-31,2.95858
1944-02-29,2.95858
1944-03-31,1.162791
1944-04-30,0.574713
1944-05-31,0
1944-06-30,0.571429
1944-07-31,1.724138
1944-08-31,2.312139
1944-09-30,1.724138
1944-10-31,1.724138
1944-11-30,1.724138
1944-12-31,2.298851
1945-01-31,2.298851
1945-02-28,2.298851
1945-03-31,2.298851
1945-04-30,1.714286
1945-05-31,2.285714
1945-06-30,2.840909
1945-07-31,2.259887
1945-08-31,2.259887
1945-09-30,2.259887
1945-10-31,2.259887
1945-11-30,2.259887
1945-12-31,2.247191
1946-01-31,2.247191
1946-02-28,1.685393
1946-03-31,2.808989
1946-04-30,3.370787
1946-05-31,3.351955
1946-06-30,3.314917
1946-07-31,9.392265
1946-08-31,11.60221
1946-09-30,12.707182
1946-10-31,14.917127
1946-11-30,17.679558
1946-12-31,18.131868
1947-01-31,18.131868
1947-02-28,18.78453
1947-03-31,19.672131
1947-04-30,19.021739
1947-05-31,18.378378
1947-06-30,17.647059
1947-07-31,12.121212
1947-08-31,11.386139
1947-09-30,12.745098
1947-10-31,10.576923
1947-11-30,8.450704
1947-12-31,8.837209
1948-01-31,10.232558
1948-02-29,9.302326
1948-03-31,6.849315
1948-04-30,8.675799
1948-05-31,9.13242
1948-06-30,9.545455
1948-07-31,9.90991
1948-08-31,8.888889
1948-09-30,6.521739
1948-10-31,6.086957
1948-11-30,4.761905
1948-12-31,2.991453
1949-01-31,1.265823
1949-02-28,1.276596
1949-03-31,1.709402
1949-04-30,0.420168
1949-05-31,-0.41841
1949-06-30,-0.829876
1949-07-31,-2.868852
1949-08-31,-2.857143
1949-09-30,-2.44898
1949-10-31,-2.868852
1949-11-30,-1.652893
1949-12-31,-2.074689
1950-01-31,-2.083333
1950-02-28,-1.260504
1950-03-31,-0.840336
1950-04-30,-1.25523
1950-05-31,-0.420168
1950-06-30,-0.41841
1950-07-31,1.687764
1950-08-31,2.10084
1950-09-30,2.09205
1950-10-31,3.797468
1950-11-30,3.781513
1950-12-31,5.932203
1951-01-31,8.085106
1951-02-28,9.361702
1951-03-31,9.322034
1951-04-30,9.322034
1951-05-31,9.2827
1951-06-30,8.823529
1951-07-31,7.46888
1951-08-31,6.584362
1951-09-30,6.967213
1951-10-31,6.504065
1951-11-30,6.882591
1951-12-31,6
1952-01-31,4.330709
1952-02-29,2.33463
1952-03-31,1.937984
1952-04-30,2.325581
1952-05-31,1.930502
1952-06-30,2.316602
1952-07-31,3.088803
1952-08-31,3.088803
1952-09-30,2.298851
1952-10-31,1.908397
1952-11-30,1.136364
1952-12-31,0.754717
1953-01-31,0.377358
1953-02-28,0.760456
1953-03-31,1.140684
1953-04-30,0.757576
1953-05-31,1.136364
1953-06-30,1.132075
1953-07-31,0.374532
1953-08-31,0.749064
1953-09-30,0.749064
1953-10-31,1.123596
1953-11-30,0.749064
1953-12-31,0.749064
1954-01-31,1.12782
